City,Area,total_sqft,BHK,Parking,AC,Wifi,Lift,Security,Price,Price_per_sqft
Banglore,Uttarahalli,1433,3,0,0,0,1,0,50.15,3500.0
Banglore,Uttarahalli,1077,2,0,0,0,1,0,37.69,3500.0
Banglore,Uttarahalli,985,2,0,0,0,1,0,34.47,3499.0
Banglore,Uttarahalli,1416,3,0,0,0,1,0,49.56,3500.0
Banglore,Uttarahalli,1521,3,0,0,0,1,0,53.23,3500.0
Banglore,Uttarahalli,1130,2,0,0,0,1,0,39.54999,3500.0
Banglore,Uttarahalli,977,2,0,0,0,1,0,34.19,3499.0
Banglore,Uttarahalli,1529,3,0,0,0,1,0,53.51,3500.0
Banglore,Uttarahalli,1267,3,0,0,0,1,0,44.34,3500.0
Banglore,Hosa Road,1725,3,1,0,0,1,1,94.53,5480.0
Banglore,Other,1795,2,1,0,0,1,1,150.0,8357.0
Banglore,Other,1740,2,1,0,0,1,1,144.0,8276.0
Banglore,Other,1645,2,1,0,0,1,1,137.0,8328.0
Banglore,Avalahalli Off Sarjapur Road,1616,3,1,0,0,1,1,85.0,5260.0
Banglore,Hosa Road,1541,3,0,0,0,1,1,90.0,5840.0
Banglore,Varthur,1515,3,0,0,0,1,0,93.0,6139.0
Banglore,Uttarahalli,1690,3,0,0,0,1,1,110.0,6509.0
Banglore,Other,700,1,0,0,0,0,0,32.0,4571.0
Banglore,Other,700,1,0,0,0,0,0,32.0,4571.0
Banglore,Other,1335,2,0,0,0,1,0,110.0,8240.0
Banglore,Subramanyapura,1690,3,0,0,0,1,0,98.0,5799.0
Banglore,Other,1880,3,0,0,0,1,0,156.0,8298.0
Banglore,JP Nagar Phase 8,1042,2,1,0,0,1,1,68.45999,6570.0
Banglore,JP Nagar Phase 8,1408,3,1,0,0,1,1,91.73,6515.0
Banglore,JP Nagar Phase 8,1455,3,1,0,0,1,1,94.71,6509.0
Banglore,JP Nagar Phase 8,1105,2,1,0,0,1,1,72.47,6558.0
Banglore,Other,1120,2,0,0,0,1,0,55.99,4999.0
Banglore,Horamavu,1107,2,0,0,0,1,1,48.15,4350.0
Banglore,Horamavu,1122,2,0,0,0,1,1,48.8,4349.0
Banglore,Horamavu,1161,2,0,0,0,1,1,50.5,4350.0
Banglore,Horamavu,1062,2,0,0,0,1,1,46.19,4349.0
